Entry_date,Duplicate_record,Quality_flag,Country,Region,Site_name,Site_ID,Study_midyear,YearsOfData,Latitude,Longitude,Elevation,Manipulation,Manipulation_level,Age_ecosystem,Age_disturbance,Species,Biome,Ecosystem_type,Ecosystem_state,Soil_type,Soil_drainage,Soil_BD,Soil_CN,Soil_sand,Soil_silt,Soil_clay,MAT,MAP,PET,Study_temp,Study_precip,Meas_interval,Annual_coverage,Rs_annual,Rs_annual_err,Rs_interann_err,Rlitter_annual,Ra_annual,Rh_annual,RC_annual,Rs_spring,Rs_summer,Rs_autumn,Rs_winter,Rs_growingseason,Rs_wet,Rs_dry,RC_season,GPP,ER,NEP,NPP,ANPP,BNPP,NPP_FR,TBCA,Litter_flux,Rootlitter_flux,TotDet_flux,Ndep,LAI,BA,C_veg_total,C_AG,C_BG,C_CR,C_FR,C_litter,C_soilmineral,C_soildepth,Notes
2008-09-26,,Q02,Canada,Manitoba,BOREAS NSA-D1998,CA-BND-3YRWD,2001.5,1.5,56.63,-99.94,,,,,3.0,Picea mariana; Pinus banksiana; Populus tremuloides,Boreal,Forest,Natural,Gray luvisol (Boralf),Medium,,,,,,0.8,450.0,,,,30.0,0.35,255.0,,,,-7.0,262.0,-0.03,,,,,1.3,,,Growing,,,-136.0,111.0,106.0,5.0,5.0,,0.0,5.0,5.0,,0.0,0.0,200.0,80.0,120.0,70.0,50.0,,41800.0,70.0,LAI from Bond-Lamberty (2002); C from Wang (2003) and Gower (1997)
2008-09-26,,Q02,Canada,Manitoba,BOREAS NSA-D1995,CA-BND-6YRWD,2001.5,1.5,56.46,-99.97,,,,,6.0,Picea mariana; Pinus banksiana; Populus tremuloides,Boreal,Forest,Natural,Gray luvisol (Boralf),Dry,,,,,,0.8,450.0,,,,30.0,0.35,85.0,,,,9.0,76.0,0.11,,,,,0.6,,,Growing,,,-134.0,188.5,183.5,20.3,20.3,,2.0,20.3,22.3,,0.1,0.5,160.0,90.0,70.0,40.0,30.0,,41800.0,70.0,LAI from Bond-Lamberty (2002); C from Wang (2003) and Gower (1997)
2008-09-26,,Q02,Canada,Manitoba,BOREAS NSA-D1989,CA-BND-12YRWD,2001.5,1.5,55.91,-98.98,,,,,12.0,Picea mariana; Pinus banksiana; Populus tremuloides,Boreal,Forest,Natural,Gray luvisol (Boralf),Medium,,,,,,0.8,450.0,,,,30.0,0.35,425.0,,,,140.0,285.0,0.33,,,,,1.98,,,Growing,,,-2.0,366.5,354.1,12.8,12.8,,17.5,12.8,30.3,,0.0,0.0,520.0,400.0,120.0,70.0,50.0,,41800.0,70.0,LAI from Bond-Lamberty (2002); C from Wang (2003) and Gower (1997)
2008-09-26,,Q02,Canada,Manitoba,BOREAS NSA-D1981,CA-BND-20YRWD,2001.5,1.5,55.86,-98.48,,,,,20.0,Picea mariana; Pinus banksiana; Populus tremuloides,Boreal,Forest,Natural,Gray luvisol (Boralf),Dry,,,,,,0.8,450.0,,,,30.0,0.35,551.0,,,,166.0,385.0,0.3,,,,,2.75,,,Growing,,,43.0,403.0,363.4,39.7,22.6,,31.3,22.6,53.9,,0.9,4.1,1050.0,700.0,350.0,230.0,120.0,,41800.0,70.0,LAI from Bond-Lamberty (2002); C from Wang (2003) and Gower (1997)
2008-09-26,,Q02,Canada,Manitoba,BOREAS NSA-D1964,CA-BND-37YRWD,2001.5,1.5,55.92,-98.39,,,,,37.0,Picea mariana; Pinus banksiana; Populus tremuloides,Boreal,Forest,Natural,Gray luvisol (Boralf),Medium,,,,,,0.8,450.0,,,,30.0,0.35,484.0,,,,106.0,378.0,0.22,,,,,2.2,,,Growing,,,97.0,432.0,377.2,54.9,36.0,,30.8,36.0,66.8,,1.8,11.6,2300.0,1500.0,800.0,600.0,200.0,,41800.0,70.0,LAI from Bond-Lamberty (2002); C from Wang (2003) and Gower (1997)
2008-09-26,,Q02,Canada,Manitoba,BOREAS NSA-D1930,CA-BND-71YRWD,2001.5,1.5,55.91,-98.52,,,,,71.0,Picea mariana,Boreal,Forest,Natural,Gray luvisol (Boralf),Medium,,,,,,0.8,450.0,,,,30.0,0.35,540.0,,,,146.0,394.0,0.27,,,,,2.27,,,Growing,,,112.0,362.0,202.6,159.4,78.7,,59.6,78.7,138.3,,6.8,36.7,6720.0,5500.0,1220.0,970.0,250.0,,41800.0,70.0,LAI from Bond-Lamberty (2002); C from Wang (2003) and Gower (1997)
2008-09-26,,Q02,Canada,Manitoba,BOREAS NSA-D1850; NOBS,CA-BND-151YRWD,2001.5,1.5,55.88,-98.48,,,,,151.0,Picea mariana,Boreal,Forest,Natural,Gray luvisol (Boralf),Medium,,,,,,0.8,450.0,,,,30.0,0.35,375.0,,,,46.0,329.0,0.12,,,,,1.85,,,Growing,,,-19.0,211.0,147.1,74.5,74.5,,33.5,74.5,108.0,,5.3,42.2,8530.0,7100.0,1430.0,1230.0,200.0,,41800.0,70.0,LAI from Bond-Lamberty (2002); C from Wang (2003) and Gower (1997)
2008-09-26,,Q02,Canada,Manitoba,BOREAS NSA-W1998,CA-BND-3YRPD,2001.5,1.5,56.63,-99.94,,,,,3.0,Picea mariana; Pinus banksiana; Populus tremuloides,Boreal,Forest,Natural,Luvic gleysol (Aqualf),Wet,,,,,,0.8,450.0,,,,30.0,0.35,137.0,,,,3.0,134.0,0.02,,,,,0.66,,,Growing,,,-76.0,74.0,68.0,6.0,4.3,,0.0,4.3,4.3,,0.0,0.0,90.0,20.0,70.0,40.0,30.0,,,,LAI from Bond-Lamberty (2002); C from Wang (2003) and Gower (1997)
2008-09-26,,Q02,Canada,Manitoba,BOREAS NSA-W1995,CA-BND-6YRPD,2001.5,1.5,56.46,-99.98,,,,,6.0,Picea mariana; Pinus banksiana; Populus tremuloides,Boreal,Forest,Natural,Luvic gleysol (Aqualf),Wet,,,,,,0.8,450.0,,,,30.0,0.35,513.0,,,,15.0,498.0,0.03,,,,,2.36,,,Growing,,,131.0,490.0,456.4,34.6,34.6,,1.0,34.6,35.6,,0.0,0.0,550.0,100.0,450.0,300.0,150.0,,,,LAI from Bond-Lamberty (2002); C from Wang (2003) and Gower (1997)
2008-09-26,,Q02,Canada,Manitoba,BOREAS NSA-W1989,CA-BND-12YRPD,2001.5,1.5,55.9,-98.98,,,,,12.0,Picea mariana; Pinus banksiana; Populus tremuloides,Boreal,Forest,Natural,Luvic gleysol (Aqualf),Wet,,,,,,0.8,450.0,,,,30.0,0.35,337.0,,,,98.0,239.0,0.29,,,,,1.65,,,Growing,,,-30.0,261.0,223.3,37.7,30.6,,5.2,30.6,35.8,,0.0,0.0,740.0,350.0,390.0,260.0,130.0,,,,LAI from Bond-Lamberty (2002); C from Wang (2003) and Gower (1997)
