sample_date,transect_id,plot_id,sample,longitude,latitude,east,north,soil_temp,real_dielectric_0-5.8,conductivity_0-5.8,soil_moisture_0-3.8,soil_moisture_0-5.8,soil_moisture_0-7.6,soil_moisture_0-12,soil_moisture_0-20,comments
2012-10-15,1,1,1,-72.184,42.542,731233,4713800,18.2,14.4,0,-9999,23.3,-9999,-9999,-9999,
2012-10-15,1,1,2,-72.184,42.542,731233,4713800,16.6,11.84,0,-9999,19.5,-9999,-9999,-9999,
2012-10-15,1,1,3,-72.184,42.542,731233,4713800,16.2,12.73,0,-9999,20.9,-9999,-9999,-9999,
2012-10-15,1,10,1,-72.1836,42.54236,731261.4,4713841,16.2,15.62,0.01,-9999,25.1,-9999,-9999,-9999,
2012-10-15,1,10,2,-72.1836,42.54236,731261.4,4713841,16,8.02,0,-9999,12.9,-9999,-9999,-9999,
2012-10-15,1,10,3,-72.1836,42.54236,731261.4,4713841,15.7,9.29,0,-9999,15.3,-9999,-9999,-9999,
2012-10-15,1,19,1,-72.1833,42.54272,731289.7,4713882,16.7,7.02,0,-9999,10.9,-9999,-9999,-9999,
2012-10-15,1,19,2,-72.1833,42.54272,731289.7,4713882,16,8.1,0,-9999,13,-9999,-9999,-9999,
2012-10-15,1,19,3,-72.1833,42.54272,731289.7,4713882,16,11.93,0,-9999,19.7,-9999,-9999,-9999,
2012-10-15,1,28,1,-72.1829,42.54308,731318.1,4713924,16.6,10.4,0,-9999,17.2,-9999,-9999,-9999,
2012-10-15,1,28,2,-72.1829,42.54308,731318.1,4713924,16.1,13.23,0,-9999,21.7,-9999,-9999,-9999,
2012-10-15,1,28,3,-72.1829,42.54308,731318.1,4713924,15.8,16.94,0,-9999,26.9,-9999,-9999,-9999,
2012-10-15,1,37,1,-72.1826,42.54344,731346.5,4713965,15.4,15.49,0,-9999,24.9,-9999,-9999,-9999,
2012-10-15,1,37,2,-72.1826,42.54344,731346.5,4713965,15,14.56,0,-9999,23.6,-9999,-9999,-9999,
2012-10-15,1,37,3,-72.1826,42.54344,731346.5,4713965,15,11.87,0,-9999,19.6,-9999,-9999,-9999,
2012-10-15,1,46,1,-72.1822,42.54381,731374.8,4714006,15.8,9.47,0,-9999,15.6,-9999,-9999,-9999,
2012-10-15,1,46,2,-72.1822,42.54381,731374.8,4714006,15.5,10.66,0,-9999,17.6,-9999,-9999,-9999,
2012-10-15,1,46,3,-72.1822,42.54381,731374.8,4714006,15.4,14.07,0,-9999,22.9,-9999,-9999,-9999,
2012-10-15,1,55,1,-72.1818,42.54417,731403.2,4714047,16.2,18.08,0,-9999,28.4,-9999,-9999,-9999,
2012-10-15,1,55,2,-72.1818,42.54417,731403.2,4714047,16,13.78,0,-9999,22.5,-9999,-9999,-9999,
2012-10-15,1,55,3,-72.1818,42.54417,731403.2,4714047,15.7,10.72,0,-9999,17.7,-9999,-9999,-9999,
2012-10-15,1,64,1,-72.1815,42.54453,731431.6,4714088,17,11.6,0,-9999,19.1,-9999,-9999,-9999,
2012-10-15,1,64,2,-72.1815,42.54453,731431.6,4714088,16.6,11.99,0,-9999,19.7,-9999,-9999,-9999,
2012-10-15,1,64,3,-72.1815,42.54453,731431.6,4714088,16.5,17.83,0,-9999,28,-9999,-9999,-9999,
2012-10-15,1,73,1,-72.1811,42.54489,731459.9,4714129,17,14.3,0,-9999,23.2,-9999,-9999,-9999,
2012-10-15,1,73,2,-72.1811,42.54489,731459.9,4714129,16.7,8.34,0,-9999,13.5,-9999,-9999,-9999,
2012-10-15,1,73,3,-72.1811,42.54489,731459.9,4714129,16.3,18.37,0,-9999,28.7,-9999,-9999,-9999,
2012-10-15,1,82,1,-72.1804,42.54562,731516.7,4714212,18.4,70.79,0.01,-9999,73.4,-9999,-9999,-9999,
2012-10-15,1,82,2,-72.1804,42.54562,731516.7,4714212,16.8,70.66,0.01,-9999,73.3,-9999,-9999,-9999,
2012-10-15,1,82,3,-72.1804,42.54562,731516.7,4714212,15.9,71.92,0.02,-9999,74.2,-9999,-9999,-9999,
2012-10-15,1,83,1,-72.1797,42.54634,731573.4,4714294,17.1,17.52,0.01,-9999,27.6,-9999,-9999,-9999,
2012-10-15,1,83,2,-72.1797,42.54634,731573.4,4714294,17,20.62,0.01,-9999,31.4,-9999,-9999,-9999,
2012-10-15,1,83,3,-72.1797,42.54634,731573.4,4714294,16.9,42.61,0.01,-9999,53,-9999,-9999,-9999,
2012-10-15,1,84,1,-72.1789,42.54706,731630.1,4714376,17.7,18.36,0,-9999,28.6,-9999,-9999,-9999,
2012-10-15,1,84,2,-72.1789,42.54706,731630.1,4714376,17.3,24.97,0.01,-9999,36.4,-9999,-9999,-9999,
