
    # This tab-delimited file contains daily ET rates [mm/day] for each OpenET model and the ensemble value extracted at the in situ ET stations that were used in the manuscript by Volk et al. (2023) "Assessing the accuracy of OpenET data to support water resource and land 
management applications".

Site ID	geeSEBAL	PT-JPL	SSEBop	SIMS	eeMETRIC	DisALEXI	Ensemble	DATE
ALARC2_Smith6	1.4	0.7	0.1	0.9	1.2	0.9	1.0	2018-02-07
ALARC2_Smith6	3.2	3.0	3.0	1.9	3.9	3.6	3.3	2018-02-23
ALARC2_Smith6	3.8	4.1	3.6	2.9	4.1	3.5	3.7	2018-03-03
ALARC2_Smith6	5.2	4.9	7.6	6.3	7.1	6.1	6.2	2018-03-27
ALARC2_Smith6	6.3	6.0	8.6	7.0	10.2	6.1	6.3	2018-04-12
ALARC2_Smith6	6.1	6.2	5.9	5.5	6.3	6.3	6.2	2018-04-20
ALARC2_Smith6	7.0	7.3	8.6	7.3	8.9	7.7	7.3	2018-04-28
ALARC2_Smith6	7.2	8.0	6.9	6.4	7.2	6.1	7.0	2018-05-06
ALARC2_Smith6	7.0	7.1	6.7	5.7	6.9	7.6	7.1	2018-05-14
ALARC2_Smith6	6.6	5.8	5.5	4.8	6.0	6.0	6.0	2018-05-22
ALARC2_Smith6	5.5	2.9	4.0	2.7	4.7	4.5	4.1	2018-05-30
Almond_High	1.7	3.3	3.5	2.2	2.8	3.0	2.8	2016-10-18
Almond_High	2.2	3.2	3.2	2.5	2.7	2.6	2.7	2016-10-19
Almond_High	1.9	3.1	3.3	1.9	2.1	3.0	2.6	2016-10-26
Almond_High	1.3	2.8	2.0	1.2	1.6	2.4	1.9	2016-11-03
Almond_High	1.6	2.7	2.7	1.6	3.8	2.2	2.5	2016-11-11
Almond_High	1.5	2.5	1.6	1.0	2.8	1.9	1.9	2016-11-12
Almond_High	1.1	1.3	3.0	1.6	1.4	1.8	1.5	2016-11-19
Almond_High	0.5	1.9	0.6	0.7	0.1	1.0	0.6	2016-11-27
Almond_High	0.6	1.1	0.8	0.5	0.8	0.9	0.8	2016-12-13
Almond_High	0.7	1.7	1.0	0.4	1.0	1.3	1.0	2016-12-14
Almond_High	0.7	1.6	0.9	0.5	0.9	1.5	1.0	2016-12-22
Almond_High	1.0	1.6	0.8	0.4	1.5	1.5	1.1	2016-12-29
Almond_High	1.1	1.6	0.6	0.3	1.3	1.3	1.2	2017-01-06
Almond_High	1.2	1.7	1.0	0.6	1.1	2.3	1.1	2017-01-31
Almond_High	1.9	2.7	1.2	0.8	1.5	2.9	1.8	2017-02-23
Almond_High	1.9	2.4	1.3	1.0	1.4	3.1	1.9	2017-02-24
Almond_High	3.4	3.7	2.1	1.2	2.5	3.5	2.7	2017-03-03
Almond_High	3.3	3.9	2.7	1.7	2.6	3.7	3.0	2017-03-11
Almond_High	2.8	4.4	3.0	2.3	2.4	3.7	3.1	2017-03-12
Almond_High	2.6	4.9	3.1	3.4	1.8	4.3	3.4	2017-03-27
Almond_High	4.2	4.6	3.0	3.5	2.1	4.0	3.6	2017-03-28
Almond_High	4.4	5.0	4.8	4.4	3.0	4.9	4.7	2017-04-04
Almond_High	5.0	5.8	4.5	4.6	3.4	3.6	4.5	2017-04-12
Almond_High	3.4	4.3	3.8	3.8	3.1	3.8	3.8	2017-04-13
Almond_High	5.3	6.1	5.2	4.9	3.7	5.2	5.1	2017-04-20
Almond_High	5.0	5.8	4.9	5.0	3.5	5.5	5.2	2017-04-21
Almond_High	4.3	5.4	6.5	6.3	3.3	5.9	5.7	2017-04-28
Almond_High	5.5	5.3	5.6	5.7	3.9	5.4	5.5	2017-04-29
Almond_High	4.8	4.0	3.0	4.2	3.2	3.9	3.8	2017-05-07
Almond_High	5.6	6.1	5.1	4.4	2.8	5.7	5.4	2017-05-14
Almond_High	6.1	6.1	4.4	4.5	4.1	4.4	4.3	2017-05-15
Almond_High	6.4	7.3	8.6	7.2	5.1	7.0	7.0	2017-05-22
