Country,Region,Study_midyear,Species,Biome,Leaf_habit,Soil_drainage,MAT,MAP
Japan,Agro-Environmental Sciences station,2002.0,"Glycine max, Hordeum vulgare",Temperate,Deciduous,Dry,14.5,1200.0
Japan,Agro-Environmental Sciences station,2003.0,"Glycine max, Hordeum vulgare",Temperate,Deciduous,Dry,14.5,1200.0
Japan,Agro-Environmental Sciences station,2004.0,"Glycine max, Hordeum vulgare",Temperate,Deciduous,Dry,14.5,1200.0
Japan,Agro-Environmental Sciences station,2005.0,"Glycine max, Hordeum vulgare",Temperate,Deciduous,Dry,14.5,1200.0
USA,Alabama,2010.0,Gossypium hirsutum,Temperate,Deciduous,Dry,18.0,1100.0
USA,Alaska,1970.5,Mix,Arctic,Deciduous,Wet,-12.6,132.0
USA,Alaska,1971.0,Mix,Arctic,Deciduous,Wet,-12.6,132.0
USA,Alaska,1978.0,Picea mariana,Boreal,Evergreen,Dry,-2.9,300.0
USA,Alaska,1980.0,"Picea glauca, Picea mariana, Betula papyrifera, Populus tremuloides",Boreal,Evergreen,Dry,-3.5,286.0
USA,Alaska,1980.5,Picea glauca,Boreal,Evergreen,Dry,-3.5,280.0
USA,Alaska,1981.0,"Picea glauca, Picea mariana, Betula papyrifera, Populus tremuloides",Boreal,Evergreen,Dry,-3.5,286.0
USA,Alaska,1983.0,"Carex aquatilis; Cares limosa; Sphagnum riparium, Andromeda polifolia, Picea mariana",Boreal,Evergreen,Wet,-3.5,280.0
USA,Alaska,1989.0,"Betula nana; Salix pulchra; Sphagnum, Eriophorum vaginatum; Carex bigelowii; Betula nana; Salix pulchra; Ledum palustre",Arctic,Deciduous,Wet,-12.0,350.0
USA,Alaska,1996.0,"Picea glauca; Populus balsamifera, Betula papyrifera; Picea glauca; Populus balsamifera",Boreal,Mixed,Wet,-3.5,269.0
USA,Alaska,1997.0,"Picea mariana, Picea glauca; Populus balsamifera, Betula papyrifera; Picea glauca; Populus balsamifera",Boreal,Evergreen,Dry,-2.5999999999999996,242.75
USA,Alaska,1998.0,Picea mariana,Boreal,Evergreen,Wet,-3.2999999999999994,269.0
USA,Alaska,1999.0,"Picea mariana, Hordeum vulgare; Avena sativa, Fallow, Bromus inermis",Boreal,Evergreen,Dry,-3.0,283.0
USA,Alaska,2000.0,Picea mariana,Boreal,Evergreen,Dry,-3.3,269.0
USA,Alaska,2001.0,Picea mariana,Boreal,Evergreen,Dry,-3.2999999999999994,269.0
USA,Alaska,2003.0,Picea mariana,Boreal,Evergreen,Wet,-3.5,375.0
USA,Alaska,2004.0,Picea mariana,Boreal,Evergreen,Dry,-2.3,347.0
USA,Alaska,2004.5,Picea mariana,Boreal,Evergreen,Wet,-3.3,270.0
