Country,Region,Study_midyear,Species,Biome,Leaf_habit,Soil_drainage,MAT,MAP
Singapore,Northern,2012.0,Axonopus compressus,Tropical,Evergreen,Dry,27.399999999999995,2358.0
China,Anhui,2013.5,Glycine max,Temperate,Deciduous,Dry,14.4,855.0
Czech Republic,Sokolov,2007.5,Alnus glutinosa,Temperate,Deciduous,Dry,6.8,650.0
Czech Republic,Sokolov,2007.5,Alnus glutinosa,Temperate,Deciduous,Dry,6.8,650.0
Czech Republic,Sokolov,2007.5,Alnus glutinosa,Temperate,Deciduous,Dry,6.8,650.0
Czech Republic,Sokolov,2007.5,Alnus glutinosa,Temperate,Deciduous,Dry,6.8,650.0
Czech Republic,Sokolov,2007.5,Alnus glutinosa,Temperate,Deciduous,Dry,6.8,650.0
Czech Republic,Sokolov,2007.5,Alnus glutinosa,Temperate,Deciduous,Dry,6.8,650.0
Czech Republic,Sokolov,2007.5,Alnus glutinosa,Temperate,Deciduous,Dry,6.8,650.0
Czech Republic,Sokolov,2007.5,Alnus glutinosa,Temperate,Deciduous,Dry,6.8,650.0
Czech Republic,Sokolov,2007.5,Alnus glutinosa,Temperate,Deciduous,Dry,6.8,650.0
Czech Republic,Sokolov,2007.5,Alnus glutinosa,Temperate,Deciduous,Dry,6.8,650.0
USA,Washington,1979.0,"Pseudotsuga menziesii, Alnus rubra, Tsuga heterophylla",Temperate,Evergreen,Dry,7.8,1850.0
Finland,Kannus,2003.0,Juncus  liformis; Deschampsia cespitosa,Boreal,Deciduous,Dry,2.4,561.0
Finland,Kannus,2004.0,Juncus  liformis; Deschampsia cespitosa,Boreal,Deciduous,Dry,2.4,561.0
Finland,Kannus,2005.0,Juncus  liformis; Deschampsia cespitosa,Boreal,Deciduous,Dry,2.4,561.0
Finland,Kannus,2003.0,Juncus  liformis; Deschampsia cespitosa,Boreal,Deciduous,Dry,2.4,561.0
Finland,Kannus,2004.0,Juncus  liformis; Deschampsia cespitosa,Boreal,Deciduous,Dry,2.4,561.0
Finland,Kannus,2005.0,Juncus  liformis; Deschampsia cespitosa,Boreal,Deciduous,Dry,2.4,561.0
Finland,Kannus,2003.0,Elymus repens; Poa pratensis,Boreal,Deciduous,Dry,2.4,561.0
Finland,Kannus,2004.0,Elymus repens; Poa pratensis,Boreal,Deciduous,Dry,2.4,561.0
Finland,Kannus,2005.0,Elymus repens; Poa pratensis,Boreal,Deciduous,Dry,2.4,561.0
Finland,Kannus,2003.0,Deschampsia cespitosa; Epilobium angustifolium; Rubus arcticus,Boreal,Deciduous,Dry,2.4,561.0
Finland,Kannus,2004.0,Deschampsia cespitosa; Epilobium angustifolium; Rubus arcticus,Boreal,Deciduous,Dry,2.4,561.0
Finland,Kannus,2005.0,Deschampsia cespitosa; Epilobium angustifolium; Rubus arcticus,Boreal,Deciduous,Dry,2.4,561.0
Finland,Kannus,2003.0,Epilobium angustifolium; Deschampsia cespitosa; Agrostis capillaris,Boreal,Deciduous,Dry,2.4,561.0
Finland,Kannus,2004.0,Epilobium angustifolium; Deschampsia cespitosa; Agrostis capillaris,Boreal,Deciduous,Dry,2.4,561.0
Finland,Kannus,2005.0,Epilobium angustifolium; Deschampsia cespitosa; Agrostis capillaris,Boreal,Deciduous,Dry,2.4,561.0
Germany,Bavaria,2007.0,Pinus sylvestris,Temperate,Evergreen,Dry,8.0,789.0
Germany,Bavaria,2008.0,Pinus sylvestris,Temperate,Evergreen,Dry,8.0,789.0
Germany,Bavaria,2009.0,Pinus sylvestris,Temperate,Evergreen,Dry,8.0,789.0
Germany,Bavaria,2010.0,Pinus sylvestris,Temperate,Evergreen,Dry,8.0,789.0
Sweden,Norrland,2011.5,Sphagnum fuscum,Boreal,Deciduous,Wet,-0.5,320.0
Sweden,Northern Sweden,2013.5,Betula pubescens,Boreal,Deciduous,Dry,0.2,387.0
Sweden,Nothern,2015.0,Andromeda polifolia,Boreal,Evergreen,Dry,0.2,337.0
Canada,Québec,2007.5,"Populus tremuloides, Picea mariana; Populus tremuloides, Picea mariana",Boreal,Deciduous,Dry,0.6999999999999998,890.0
Denmark,Greenland,2007.0,"Dryas octopetala; Vaccinium uliginosum; Carex bigelowii; Carex digyna; Bistorta vivipara, Juncus trifidus; Salix herbacea; Betula nana; Empetrum hermaphroditum; Carex bigelowii",Arctic,Deciduous,Wet,-4.9,181.0
Denmark,Greenland,2007.5,"Salix polaris; Luzula arcuata; Dryas octopetala; Bistorta vivipara, Cassiope tetragona; Dryas octopetala; Salix polaris; Saxifraga oppositifolia; Alopecurus borealis; Bistorta vivipara",Arctic,Deciduous,Wet,-6.7,262.0
USA,Arkansas,2011.0,Lolium arundinaceum; Trifolium spp.; Sorghum halepense; Cynodon dactylon,Temperate,Deciduous,Dry,13.9,1230.0
China,Shandong,2012.5,Zea mays,Mediterranean,Deciduous,Dry,12.9,575.0
China,Yunnan,2004.0,Lithocarpus chintungensis; Rhododendron leptothrium; Vaccinium ducluoxii; Lithocarpus xylocarpus; Castanopsis wattii; Schima noronhae; Hartia sinensis; Manglietia insignsis,Subtropical,Evergreen,Dry,11.3,1840.0
China,Yunnan,2005.0,Lithocarpus chintungensis; Rhododendron leptothrium; Vaccinium ducluoxii; Lithocarpus xylocarpus; Castanopsis wattii; Schima noronhae; Hartia sinensis; Manglietia insignsis,Subtropical,Evergreen,Dry,11.3,1840.0
China,Yunnan,2006.0,Lithocarpus chintungensis; Rhododendron leptothrium; Vaccinium ducluoxii; Lithocarpus xylocarpus; Castanopsis wattii; Schima noronhae; Hartia sinensis; Manglietia insignsis,Subtropical,Evergreen,Dry,11.3,1840.0
China,Aral,2014.5,Gossypium hirsutum,Temperate,Deciduous,Dry,11.199999999999998,46.0
China,Aral,2015.5,Gossypium hirsutum,Temperate,Deciduous,Dry,11.199999999999998,46.0
Canada,Alberta,2005.0,Populus deltoides; Populus balsamifera,Boreal,Deciduous,Dry,2.1,504.0
