Study_midyear,Country,Region,Site_name,Species,Biome,Leaf_habit,Soil_drainage,MAT,MAP,Species_traducida
1961.0,USA,Tennessee,Oak Ridge,Pinus echinata,Temperate,Evergreen,Dry,14.0,1500.0,Pinus echinata
1961.0,USA,Tennessee,Oak Ridge,Acer rubrum,Temperate,Deciduous,Dry,14.0,1500.0,Acer rubrum
1961.0,Congo,Yangambi,Esali,Mix,Tropical,Evergreen,Dry,24.4,1875.0,Mix
1961.0,USA,Tennessee,Oak Ridge,Quercus alba,Temperate,Deciduous,Dry,14.0,1500.0,Quercus alba
1962.0,USA,Tennessee,Oak Ridge,Quercus alba,Temperate,Deciduous,Dry,14.0,1500.0,Quercus alba
1962.0,United Kingdom,England,Rothamsted,Mix,Temperate,Deciduous,Dry,10.0,687.0,Mix
1965.5,USA,Minnesota,Cedar Creek,Thuja occidentalis,Temperate,Evergreen,Wet,5.8,802.0,Thuja occidentalis
1965.5,USA,Minnesota,Cedar Creek,Fraxinus nigra,Temperate,Deciduous,Wet,5.8,802.0,Fraxinus nigra
1965.5,USA,Minnesota,Cedar Creek,Quercus ellipsoidalis; Acer rubrum; Quercus alba; Betula papyrifera,Temperate,Deciduous,Dry,5.8,802.0,Quercus ellipsoidalis; Acer rubrum; Quercus alba; Betula papyrifera
1967.0,Brazil,Amazonas,Rio Negro,Mix,Tropical,Evergreen,Dry,25.0,2248.0,Mix
1969.0,USA,Missouri,UM Prairie Station,Andropogon gerardi; Andropogon scoparius,Temperate,Deciduous,Dry,12.8,1000.0,Andropogon gerardi; Andropogon scoparius
1969.5,USA,South Carolina,U-GA Field 3-412,Andropogon virginicus,Temperate,Deciduous,Dry,18.0,1200.0,Andropogon virginicus
1969.5,USA,Missouri,Ashland Wildlife Area,Quercus alba; Quercus velutina; Carya ovata,Temperate,Deciduous,Dry,12.8,961.0,Quercus alba; Quercus velutina; Carya ovata
1970.0,Canada,Saskatchewan,Matador,Grasses (mix),Temperate,Deciduous,Dry,3.3,390.0,Grasses (mix)
1970.0,Canada,Saskatchewan,Matador,Grasses (mix),Temperate,Deciduous,Dry,3.3,390.0,Grasses (mix)
1970.0,Canada,Saskatchewan,Matador,Grasses (mix),Temperate,Deciduous,Dry,3.3,390.0,Grasses (mix)
1970.0,Canada,Saskatchewan,Matador,Grasses (mix),Temperate,Deciduous,Dry,3.3,390.0,Grasses (mix)
1970.0,Canada,Saskatchewan,Matador,Triticum aestivum,Temperate,Deciduous,Dry,3.3,390.0,Trigo
1970.5,USA,South Carolina,U-GA Field 3-412,Andropogon virginicus,Temperate,Deciduous,Dry,18.0,1200.0,Andropogon virginicus
1970.5,USA,Alaska,Barrow,Mix,Arctic,Deciduous,Wet,-12.6,132.0,Mix
1971.0,Canada,Saskatchewan,Matador,Andropogon spp.; Koeleria spp.,Temperate,Deciduous,Dry,3.3,390.0,Andropogon spp.; Koeleria spp.
1971.0,Canada,Saskatchewan,Matador,Andropogon spp.; Koeleria spp.,Temperate,Deciduous,Dry,3.3,390.0,Andropogon spp.; Koeleria spp.
1971.0,USA,Tennessee,Oak Ridge,Liriodendron tulipifera,Temperate,Deciduous,Dry,13.3,1265.0,Liriodendron tulipifera
1971.0,Canada,Saskatchewan,Matador,Andropogon spp; Koeleria spp.,Temperate,Deciduous,Dry,3.3,390.0,Andropogon spp; Koeleria spp.
1971.0,Canada,Saskatchewan,Matador,Andropogon spp.; Koeleria spp.,Temperate,Deciduous,Dry,3.3,390.0,Andropogon spp.; Koeleria spp.
1971.0,USA,Utah,Curlew Valley,Ceratoides lanata,Temperate,Deciduous,Dry,7.1,244.0,Ceratoides lanata
1971.0,USA,Oklahoma,Osage,Schizachyrium scoparius; Andropogon garardi; Panicum virgatum; Sorghastrum nutans,Temperate,Deciduous,Dry,15.2,1000.0,Schizachyrium scoparius; Andropogon garardi; Panicum virgatum; Sorghastrum nutans
1971.0,USA,Missouri,Ashland Wildlife Area,Quercus alba; Quercus velutina; Carya ovata,Temperate,Deciduous,Dry,12.8,940.0,Quercus alba; Quercus velutina; Carya ovata
1971.0,USA,Utah,Curlew Valley,Atriplex confertifolia,Temperate,Deciduous,Dry,7.1,244.0,Atriplex confertifolia
1971.0,USA,Alaska,Barrow,Mix,Arctic,Deciduous,Wet,-12.6,132.0,Mix
1971.0,Canada,Saskatchewan,Matador,Grasses (mix),Temperate,Deciduous,Dry,3.3,390.0,Grasses (mix)
1971.0,Canada,Saskatchewan,Matador,Grasses (mix),Temperate,Deciduous,Dry,3.3,390.0,Grasses (mix)
1971.0,Canada,Saskatchewan,Matador,Grasses (mix),Temperate,Deciduous,Dry,3.3,390.0,Grasses (mix)
1971.0,Canada,Saskatchewan,Matador,Grasses (mix),Temperate,Deciduous,Dry,3.3,390.0,Grasses (mix)
